participant,IMOT_1,IMOT_2,IMOT_3,IMOT_4,RIS_1,RIS_2,RIS_3,RIS_4,RIS_5,RIS_6,imotris_F1_score,imotris_F2_Score,imotris_score,correct_burger_apprentissage,correct_burger_difficile,correct_burger_difficile_assistance,correct_burger_facile,correct_burger_facile_assistance,total_correct_burger_apprentissage,total_correct_burger_difficile,total_correct_burger_difficile_assistance,total_correct_burger_facile,total_correct_burger_facile_assistance,score_sa,score_aa,ATI_1,ATI_2,ATI_3,ATI_4,ATI_5,ATI_6,ATI_7,ATI_8,ATI_9,ati_score,APTT_1,APTT_2,APTT_3,APTT_4,APTT_5,APTT_6,aptt_score
ucz47,3,0,4,0,0,0,0,1,2,0,1.2,0,0.6,1,0.9,0.9,0.9,0.8,1,0.9666666666666667,0.9833333333333334,0.9833333333333334,0.9666666666666667,0.9,0.8500000000000001,3,3,1,2,2,2,2,1,3,2.111111111111111,3,3,3,3,3,3,3
tdsj1,1,1,0,1,1,2,2,3,2,1,2,1,1.5,1,0.6,0.8,1,0.8,1,0.85,0.9666666666666667,1,0.9666666666666667,0.8,0.8,3,4,4,3,3,2,3,2,4,3.111111111111111,3,1,2,2,2,2,2
coyvf,3,0,0,0,1,4,3,2,3,0,3,0,1.5,1,0.2,0.9,1,0.9,1,0.9166666666666666,1,1,0.9833333333333334,0.6,0.9,3,5,1,4,4,3,3,1,3,3,3,2,3,4,3,3,3
nms3k,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0.7,0.29999999999999993,0.7,1,0.18333333333333332,0.9,0.5666666666666667,0.9,0.14999999999999997,0.7,4,4,1,3,4,3,2,2,4,3,2,3,3,2,2,3,2.5
m2jwn,1,1,1,1,2,2,3,3,2,0,2.2,0.6666666666666666,1.4333333333333333,1,1,0.8,1,1,1,1,0.9666666666666667,1,1,1,0.9,1,1,1,1,1,1,1,1,3,1.2222222222222223,3,1,2,2,3,3,2.3333333333333335
zs46o,1,0,0,0,0,3,2,1,1,0,1.6,0,0.8,0.9,0.9,1,1,0.9,0.9833333333333334,1,1,1,0.9833333333333334,0.95,0.95,5,5,3,4,5,4,5,4,5,4.444444444444445,3,4,4,1,3,2,2.8333333333333335
wc0ta,1,0,0,0,0,1,1,0,0,0,0.6,0,0.3,1,0.7,0.6,1,0.9,1,1,1,1,0.9833333333333334,0.85,0.75,1,4,3,3,4,1,2,2,3,2.5555555555555554,2,1,3,2,1,3,2
qvpw5,2,1,1,1,2,2,2,2,2,1,2,1,1.5,0.9,0.6,0.7,1,1,0.9833333333333334,0.9666666666666667,1,1,1,0.8,0.85,3,3,1,3,3,2,3,3,3,2.6666666666666665,3,2,3,2,3,3,2.6666666666666665
s2ztf,1,2,2,1,1,2,1,1,3,1,1.6,1.3333333333333333,1.4666666666666668,1,0.4,0.5,1,0.9,1,0.9166666666666667,0.9666666666666667,1,0.9833333333333334,0.7,0.7,1,0,2,3,4,0,1,1,2,1.5555555555555556,3,3,3,2,3,3,2.8333333333333335
gshy9,2,3,1,3,1,3,3,4,4,1,3.2,2.3333333333333335,2.7666666666666666,1,0,0.7,0.9,0.7,1,0.6,0.9,0.9833333333333334,0.9333333333333333,0.45,0.7,5,5,0,4,5,4,5,4,4,4,4,4,4,3,3,4,3.6666666666666665
